,GICS Sector,GICS Sub-Industry,Name,open,high,low,close,daily_gain,daily_volatility,daily_gain%,volatility%
299,Industrials,Trading Companies & Distributors,URI,90.18663907863382,91.46381501191425,88.90133764892778,90.2101826846704,0.023543606036537084,2.5624773629864976,0.024241467083279396,2.9882779930646945
28,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",TIF,84.39299046862595,85.19123169181896,83.61638832406673,84.41141382049243,0.01842335186656104,1.574843367752185,0.024209343240146557,1.8900718293965795
169,Financials,Property & Casualty Insurance,AIG,55.69242740270044,56.12822438443212,55.265439475774336,55.70654487688637,0.01411747418586172,0.862784908657665,0.024043963560320503,1.5820308778585341
20,Consumer Discretionary,Apparel Retail,GPS,32.984055520254195,33.35605131056394,32.61453296266874,32.990484511517096,0.00642899126290707,0.7415183478951536,0.02394927062676835,2.3735274028400664
269,Industrials,Electrical Components & Equipment,EMR,58.71220413026212,59.17262954725978,58.25904598888007,58.72511914217644,0.012915011914217433,0.9135835583796661,0.023742939204104092,1.5843219879098671
123,Energy,Oil & Gas Refining & Marketing,PSX,78.2313114376491,79.03154964257345,77.43390293884032,78.25181493248608,0.020503494837172592,1.597646703733122,0.023622595556076924,2.088058006859039
59,Consumer Discretionary,Housewares & Specialties,NWL,38.55407466243046,38.90819245432889,38.193634233518665,38.56042891183478,0.006354249404289068,0.7145582208101661,0.023463006778463417,1.8741451254412147
14,Communication Services,Movies & Entertainment,FOX,30.521402908468787,30.81712181351582,30.218735158254898,30.527451668092425,0.006048759623609918,0.598386655260907,0.023193809410640746,1.97164609426945
124,Energy,Oil & Gas Refining & Marketing,VLO,57.59471810961085,58.32059078633829,56.852919380460726,57.61354249404287,0.018824384432089083,1.4676714058776807,0.023035049494465457,2.6037746462916975
391,Real Estate,Residential REITs,MAA,83.36211278792699,84.04072255758534,82.65178181096093,83.38066719618757,0.018554408260524066,1.3889407466243042,0.022813031722264145,1.6650434359983588
265,Industrials,Construction Machinery & Heavy Trucks,CAT,92.92094511517074,93.67507402700564,92.10109142176327,92.93962668784752,0.018681572676727386,1.5739826052422548,0.022807526180879858,1.730590321368956
283,Industrials,Industrial Machinery,GWW,230.31229555202555,232.42212001588564,228.1809291501194,230.36709293089748,0.05479737887212062,4.241190865766484,0.022357691453225997,1.87169989403904
126,Energy,Oil & Gas Storage & Transportation,OKE,49.32501191421768,49.89992613185064,48.72231715647344,49.33449166004769,0.00947974583002389,1.1776089753772851,0.022280444636845646,2.6299779224632354
409,Utilities,Electric Utilities,DUK,76.40875337569503,76.92639531374107,75.87898077839553,76.42594122319304,0.0171878474980146,1.0474145353455124,0.022182402528077728,1.3778703870049303
116,Energy,Oil & Gas Exploration & Production,CXO,116.3326791104052,118.0275573471009,114.56781270849892,116.35337569499602,0.020696584590945196,3.4597446386020634,0.022146248686117764,3.052750477512012
419,Utilities,Independent Power Producers & Energy Traders,AES,12.337339714058764,12.470018903891972,12.202694360603656,12.340048451151723,0.0027087370929308745,0.2673245432883242,0.022050683719134878,2.194587634735559
218,Health Care,Health Care Services,CVS,82.40791890389208,83.04423661636218,81.75708324066714,82.42001588562347,0.012096981731533115,1.287153375694994,0.021896315991351816,1.5630602614129787
86,Consumer Staples,Hypermarkets & Super Centers,COST,142.3828239078634,143.3269326449565,141.40989380460698,142.4150428117553,0.032218903891977776,1.9170388403494836,0.021837667606030974,1.3415147242006302
365,Materials,Industrial Gases,APD,132.59196981731523,133.55224694201726,131.58854344718011,132.61769658459096,0.02572676727561522,1.9637034948371732,0.02160793898012277,1.4937412065975628
398,Real Estate,Specialized REITs,AMT,101.01676806989671,101.8160382843527,100.23225536139793,101.03915806195384,0.022389992057188206,1.5837829229547271,0.021449742403826324,1.5780195465887612
197,Health Care,Health Care Distributors,MCK,169.7547734710086,171.32527283558386,168.12213828435293,169.77459094519483,0.019817474185861193,3.203134551231138,0.02140207577070545,1.8999705380276257
287,Industrials,Industrial Machinery,PNR,63.056207307386806,63.62658888006341,62.46861691818901,63.06738681493254,0.011179507545671047,1.1579719618745026,0.02139885475043304,1.8720337350232772
5,Communication Services,Cable & Satellite,CMCSA,29.99640603653693,30.24759674344722,29.733893248609995,30.003741461477357,0.00733542494042884,0.5137034948371717,0.021260570354934775,1.7152338207362376
56,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",NCLH,44.11159968228757,44.66437490071491,43.54352859412238,44.11788721207307,0.006287529785544157,1.1208463065925358,0.020958230204560797,2.5774105223515926
201,Health Care,Health Care Equipment,BAX,59.32941620333594,59.74340667196189,58.897827720412955,59.334718030182735,0.005301826846703883,0.8455789515488463,0.020886698503721345,1.479852368967453
184,Financials,Reinsurance,RE,182.86793089753758,184.24131231135826,181.48712970611615,182.9029229547259,0.03499205718824461,2.754182605242257,0.020617530037357466,1.4987460019240955
370,Materials,Paper Packaging,SEE,40.46937450357434,40.85955067513898,40.07216147736303,40.47375694996023,0.004382446386020703,0.787389197776013,0.02048008745556298,1.9937881055960898
156,Financials,Investment Banking & Brokerage,GS,187.491358141382,189.12804575059585,185.90136878474956,187.5284590945195,0.03710095313741011,3.2266769658459094,0.020471064231596454,1.7343673382034146
44,Consumer Discretionary,General Merchandise Stores,DLTR,70.9338522637013,71.6504562351072,70.20668625893573,70.94902065131053,0.01516838760921355,1.443769976171566,0.019786665406302754,2.0223909038175734
382,Real Estate,Industrial REITs,PLD,45.8895988880063,46.25600754567114,45.502920015885586,45.89808975377283,0.008490865766481299,0.7530875297855443,0.019394957136268695,1.6584430247592061
390,Real Estate,Residential REITs,ESS,207.68152899126295,209.43700254169985,205.86735845909448,207.71353455123085,0.032005559968229645,3.569644082605242,0.019193720686360338,1.7284577674086348
289,Industrials,Industrial Machinery,SWK,106.71194400317717,107.46727942811759,105.92302287529786,106.72770452740274,0.015760524225576104,1.5442565528196972,0.01893010624585692,1.4713508614349522
58,Consumer Discretionary,Household Appliances,WHR,162.10501588562343,163.8680590945195,160.32751834789508,162.13520254169975,0.03018665607625064,3.540540746624304,0.01882560675215957,2.224861859086467
292,Industrials,Railroads,KSU,100.98267672756153,102.02387394757754,99.94816163621921,101.00065131056397,0.01797458300238272,2.075712311358223,0.018812124253419053,2.0855938182087965
404,Real Estate,Specialized REITs,PSA,198.46950357426522,200.06633113582203,196.81796814932454,198.5062569499604,0.03675337569499574,3.248362986497222,0.018514986802491647,1.6136508071605509
18,Communication Services,Publishing,NWSA,14.712464242942714,14.868044910179666,14.548343199315662,14.714502566295987,0.0020383233532933883,0.3197017108639867,0.01838975073614093,2.203778754296536
137,Financials,Consumer Finance,COF,76.73615567911037,77.35988737092934,76.08459380460684,76.74967434471804,0.013518665607625225,1.2752935663224796,0.018383604316427576,1.6793822979284299
